restaurant_name,latitude,longitude
Korean restaurant,35.1332473,126.9553087
Dim sum restaurant,35.1326496,126.9307397
Barley rice restaurant,35.1494733,126.9435981
Pizza restaurant,35.1470136,126.9318062
Tteokbokki restaurant,35.1444065,126.9301283
Gimbap restaurant,35.1316846,126.928688
Gimbap restaurant,35.1744248,126.8179757
Pigs trotters restaurant,35.1590503,126.8063278
Gimbap restaurant,35.1484362,126.9248945
Pigs trotters restaurant,35.1541271,126.9367926
Monkfish restaurant,35.1623101,126.8068301
Gimbap restaurant,35.1580367,126.7923619
Gimbap restaurant,35.145872,126.9297086
Pizza restaurant,35.1739874,126.8086882
Dim sum restaurant,35.1473008,126.9321668
Pizza restaurant,35.1794592,126.8227701
Gamjatang restaurant,35.1453555,126.9296001
Gimbap restaurant,35.1753609,126.8144338
Asian restaurant,35.172461,126.8060008
Pork rice soup restaurant,35.1635953,126.802153
Syokudo and Teishoku restaurant,35.175183,126.8181843
Monkfish restaurant,35.1775233,126.8237702
Tonkatsu restaurant,35.1706822,126.8104659
Tonkatsu restaurant,35.171593,126.8063334
Korean beef restaurant,35.1605385,126.8037718
Gomtang restaurant,35.1628069,126.8103318
Pizza restaurant,35.1733769,126.814422
Fast food restaurant,35.1658069,126.8014535
Hamburger restaurant,35.1628129,126.8107999
Korean barbecue restaurant,35.1629747,126.8086334
Sashimi restaurant,35.1339499,126.9281354
Dim sum restaurant,35.1342907,126.9552903
Conveyor belt sushi restaurant,35.1773416,126.7976479
Korean traditional full course meal restaurant,35.1519655,126.9322738
Pork rice soup restaurant,35.1532082,126.9247988
Gimbap restaurant,35.1372395,126.9247369
Syokudo and Teishoku restaurant,35.1490004,126.9246592
Gimbap restaurant,35.1550675,126.9319716
Pork rice soup restaurant,35.1464507,126.9260367
Japanese curry restaurant,35.1478689,126.9252587
Sushi restaurant,35.1372041,126.9254032
Ssambap restaurant,35.1318318,126.9370605
Sushi restaurant,35.1492218,126.9262725
Korean barbecue restaurant,35.1491758,126.9286924
Italian restaurant,35.1492071,126.9274667
Cold noodle restaurant,35.1505556,126.9297222
Ramen restaurant,35.1516716,126.9255423
Gimbap restaurant,35.1735194,126.8144353
Fried chicken takeaway,35.163573,126.806814
Restaurant,35.1779828,126.8054265
Restaurant,35.1708624,126.8059862
Barbecue restaurant,35.1495958,126.9251394
Chinese restaurant,35.1531851,126.9294462
Pork rice soup restaurant,35.1301658,126.9293508
Hamburger restaurant,35.1469646,126.9271779
Izakaya restaurant,35.1510405,126.9272182
Asian restaurant,35.1502867,126.9256044
Hamburger restaurant,35.1457392,126.9300888
Restaurant,35.1493463,126.9287237
Restaurant,35.1470636,126.9279647
Restaurant,35.1523842,126.927425
Italian restaurant,35.1468495,126.9262716
French restaurant,35.1507282,126.9256206
Restaurant,35.1457386,126.9296639
Restaurant,35.1516054,126.9260063
Restaurant,35.1489143,126.9273718
Asian restaurant,35.1730444,126.8063176
Restaurant,35.1403077,126.7963558
Pizza restaurant,35.1794696,126.8044649
Restaurant,35.1904321,126.8129917
Restaurant,35.1895209,126.8119693
Halal restaurant,35.170559,126.8059603
Indian restaurant,35.1725041,126.8049693
Brunch restaurant,35.1710484,126.8062056
Pilaf restaurant,35.1778739,126.8236707
Brunch restaurant,35.1622121,126.8110673
Restaurant,35.1293643,126.932096
Rice restaurant,35.1714125,126.8060884
Fugu restaurant,35.1535821,126.9323144
Italian restaurant,35.1314155,126.9430568
Restaurant,35.1217437,126.8988886
Gomtang restaurant,35.1507961,126.933413
Korean restaurant,35.1316367,126.936396
Restaurant,35.1363132,126.9081294
Chinese restaurant,35.1481473,126.9324551
Chicken restaurant,35.1320075,126.943544
Restaurant,35.1826682,126.8064393
Korean restaurant,35.1545751,126.9327325
Restaurant,35.1512964,126.9240986
Halal restaurant,35.1713074,126.8059841
Restaurant,35.1657328,126.9372846
Restaurant,35.1715331,126.9350507
Restaurant,35.1897381,126.8265016
Restaurant,35.1546586,126.9175152
Thai restaurant,35.1747054,126.8073537
Restaurant,35.1460503,126.9294507
Korean restaurant,35.1800924,126.816962
Restaurant,35.1689172,126.8036304
Restaurant,35.1810564,126.8187382
Vegan restaurant,35.1318854,126.9466168
Restaurant,35.1577074,126.8111076
Restaurant,35.1316045,126.9292677
Korean restaurant,35.1519989,126.9328611
Restaurant,35.1319418,126.9443886
Indian restaurant,35.176394,126.8080502
